Days,Trends,Seasonal,Predicted_Prices
1,10.111981994991735,0.9744304539061805,9.853423205270921
2,10.113524963833013,1.0102049177428447,10.216732654179136
3,10.115067932674293,1.0101961195305913,10.218202374375892
4,10.116610901515571,1.0101873098612981,10.219671951515497
5,10.118153870356851,1.010178488734966,10.221141385544932
6,10.119696839198129,1.0101696561515943,10.222610676411149
7,10.121239808039409,1.0101608121111827,10.22407982406112
8,10.122782776880687,1.0101519566137318,10.225548828441811
9,10.124325745721967,1.0101430896592418,10.227017689500196
10,10.125868714563245,1.010134211247712,10.228486407183228
11,10.127411683404524,1.0101253213791428,10.229954981437881
12,10.128954652245802,1.0101164200535344,10.231423412211123
13,10.130497621087082,1.010107507270886,10.232891699449914
14,10.13204058992836,1.0100985830311984,10.234359843101224
15,10.13358355876964,1.0100896473344714,10.235827843112023
16,10.135126527610918,1.0100807001807048,10.237295699429271
17,10.136669496452198,1.0100717415698988,10.23876341199994
18,10.138212465293476,1.0100627715020536,10.240230980770995
19,10.139755434134756,1.0100537899771687,10.241698405689402
20,10.141298402976034,1.0100447969952446,10.243165686702127
21,10.142841371817314,1.0100357925562804,10.244632823756131
22,10.144384340658592,1.0100267766602773,10.24609981679839
23,10.145927309499871,1.0100177493072342,10.247566665775862
24,10.14747027834115,1.0100087104971522,10.249033370635523
25,10.14901324718243,1.0099996602300305,10.250499931324333
26,10.150556216023707,1.0099905985058695,10.251966347789258
27,10.152099184864987,1.009981525324669,10.253432619977268
28,10.153642153706265,1.0099724406864288,10.254898747835323
29,10.155185122547545,1.0099633445911491,10.256364731310397
30,10.156728091388823,1.0099542370388301,10.257830570349451
31,10.158271060230103,1.0336300292869542,10.499894013490461
32,10.15981402907138,1.0099359875630738,10.260761814907376
33,10.16135699791266,1.0099268456396364,10.26222722032018
34,10.16289996675394,1.0099176922591597,10.263692481084831
35,10.164442935595218,1.0099085274216433,10.265157597148292
36,10.165985904436498,1.0098993511270873,10.266622568457535
37,10.167528873277776,1.0098901633754922,10.268087394959528
38,10.169071842119056,1.0098809641668576,10.269552076601235
39,10.170614810960334,1.009871753501183,10.271016613329616
40,10.172157779801614,1.0098625313784695,10.27248100509165
41,10.173700748642892,1.0098532977987165,10.273945251834295
42,10.175243717484172,1.009844052761924,10.275409353504521
43,10.17678668632545,1.009834796268092,10.276873310049291
44,10.17832965516673,1.0098255283172204,10.278337121415575
45,10.179872624008008,1.0098162489093094,10.279800787550336
46,10.181415592849287,1.0098069580443592,10.281264308400544
47,10.182958561690565,1.0097976557223693,10.282727683913162
48,10.184501530531845,1.0097883419433396,10.284190914035156
49,10.186044499373123,1.009779016707271,10.2856539987135
50,10.187587468214403,1.0097696800141627,10.287116937895151
51,10.189130437055681,1.009760331864015,10.28857973152708
52,10.19067340589696,1.0097509722568274,10.290042379556251
53,10.192216374738239,1.0097416011926008,10.291504881929635
54,10.193759343579519,1.009732218671335,10.292967238594198
55,10.195302312420797,1.0097228246930297,10.294429449496905
56,10.196845281262076,1.0097134192576844,10.295891514584715
57,10.198388250103354,1.0097040023653,10.297353433804604
58,10.199931218944634,1.0096945740158758,10.298815207103535
59,10.201474187785912,1.0096851342094124,10.300276834428475
60,10.203017156627192,1.0096756829459095,10.301738315726391
61,10.20456012546847,1.009666220225367,10.303199650944247
62,10.20610309430975,1.0526394964704153,10.743347222119363
63,10.207646063151028,1.009647260413164,10.306121882927656
64,10.209189031992308,1.0096377633215032,10.307582779587136
65,10.210732000833588,1.0096282547728026,10.309043529954423
66,10.212274969674866,1.009618734767063,10.310504133976485
67,10.213817938516145,1.009609203304284,10.31196459160029
68,10.215360907357423,1.0095996603844652,10.313424902772798
69,10.216903876198703,1.0095901060076073,10.314885067440983
70,10.218446845039981,1.00958054017371,10.316345085551806
71,10.219989813881261,1.0095709628827727,10.317804957052234
72,10.221532782722539,1.0095613741347964,10.319264681889235
73,10.223075751563819,1.0095517739297803,10.320724260009776
74,10.224618720405097,1.0095421622677248,10.322183691360818
75,10.226161689246377,1.0095325391486298,10.323642975889337
76,10.227704658087655,1.0095229045724956,10.325102113542293
77,10.229247626928935,1.0095132585393216,10.326561104266652
78,10.230790595770213,1.0095036010491085,10.328019948009384
79,10.232333564611492,1.009493932101856,10.329478644717454
80,10.23387653345277,1.0094842516975637,10.330937194337828
81,10.23541950229405,1.009474559836232,10.332395596817472
82,10.236962471135328,1.0094648565178608,10.33385385210335
83,10.238505439976608,1.0094551417424502,10.335311960142434
84,10.240048408817886,1.0094454155099999,10.336769920881684
85,10.241591377659166,1.0094356778205107,10.338227734268077
86,10.243134346500444,1.0094259286739815,10.339685400248568
87,10.244677315341724,1.0094161680704132,10.341142918770132
88,10.246220284183002,1.0094063960098054,10.342600289779728
89,10.247763253024281,1.009396612492158,10.344057513224328
90,10.24930622186556,1.0093868175174712,10.345514589050893
91,10.25084919070684,1.0093770110857447,10.346971517206395
92,10.252392159548117,1.0093671931969788,10.348428297637795
93,10.253935128389397,1.0610269571001842,10.879701587577689
94,10.255478097230675,1.009347523048329,10.351341415116172
95,10.257021066071955,1.009337670788445,10.352797752057079
96,10.258564034913233,1.0093278070715215,10.354253941061753
97,10.260107003754513,1.0093179318975583,10.355709982077158
98,10.261649972595793,1.0093080452665557,10.357165875050264
99,10.26319294143707,1.0092981471785136,10.358621619928035
100,10.26473591027835,1.0092882376334322,10.36007721665744
101,10.266278879119628,1.009278316631311,10.361532665185441
102,10.267821847960908,1.009268384172151,10.362987965459016
103,10.269364816802186,1.009258440255951,10.364443117425115
